#ip,ioc
154.211.18.108,Possible Cobaltstrike C2 IP
154.212.129.95,Possible Metasploit C2 IP
154.213.65.25,Possible Cobaltstrike C2 IP
154.221.17.44,Possible Cobaltstrike C2 IP
154.39.157.5,Possible Cobaltstrike C2 IP
154.40.47.231,Possible Metasploit C2 IP
154.83.17.116,Possible Cobaltstrike C2 IP
154.90.62.118,Possible Cobaltstrike C2 IP
154.92.16.150,Possible Cobaltstrike C2 IP
155.248.175.106,Possible Metasploit C2 IP
155.94.170.73,Possible Cobaltstrike C2 IP
156.225.2.119,Possible Cobaltstrike C2 IP
156.225.2.71,Possible Cobaltstrike C2 IP
156.243.1.37,Possible Metasploit C2 IP
156.243.1.44,Possible Metasploit C2 IP
156.243.1.45,Possible Metasploit C2 IP
156.245.19.127,Possible Cobaltstrike C2 IP
156.247.9.31,Possible Cobaltstrike C2 IP
157.245.193.163,Possible Cobaltstrike C2 IP
157.245.28.175,Possible Cobaltstrike C2 IP
158.101.144.105,Possible Cobaltstrike C2 IP
159.203.60.8,Possible Cobaltstrike C2 IP
